ABRD.ME|205.00|03/01/2023 19:04|2.71|0.798|3.80|1.89|5.00|-2.22||-24.60|-8.32|20.98|6.55|7.16|13.06|13.03|1.48|1.22|0.4303
AFKS.ME|13.15|03/01/2023 18:50|0.69|23.30|1.63|0.82|7.00|-2.25|-305.85|||1.40|0.17|-1.60|4.31|-18.50|1.32|3.24|27.33
AFLT.ME|28.30|03/01/2023 19:09||-5.76||0.70|||284.61||||-3.23|-3.23||2094.79|0|5.58|11.76
AGRO.ME|704.00|03/01/2023 19:12|1.29|1.69|1.82|1.17|5.00|-1.49||96.16|70.86|3.84|1.96|8.61|5.14|18.10|12.23|6.48|0.0673
AKMB.ME|1.24|03/01/2023 19:04|||||||||||||||||12.06
AKRN.ME|18818|03/01/2023 18:52||1.06|21.48|1.99|||-62.48||-61.81||25.48|8.08|101.05|24.22|8.97|6.66|0.007606
AKSC.ME|49.88|03/01/2023 19:05|||||||||||||||||0.001229
ALRS.ME|61.24|03/01/2023 18:53||0.548|15.92|3.14|||118.31||51.60||18.29|15.83|36.75|27.69|14.94|12.45|10.74
AMEZ.ME|47.00|03/01/2023 19:11|4.70|0.208|49.58|2.75|8.00|-1.41|111.94|1046.34|216.80|108.21|50.04|13.63|85.52|25.96|0|0|11.63
AMRB.ME|105.30|03/01/2023 18:46|||||||||||||||||0.00086
AMRE.ME|75.90|03/01/2023 18:52|||||||||||||||||0.004578
AMRH.ME|109.50|03/01/2023 19:07|||||||||||||||||0.000317
APTK.ME|13.00|03/01/2023 19:02||-4.46|0.30|0.70|||||||17.28|-26.53||-498.07|0|0|3.08
AQUA.ME|618.50|03/01/2023 18:53||0.718|12.61|2.64|||||-26.96||28.65|26.54|49.34|210.13|1.91|0.382|0.0336
ARSA.ME|5.44|03/01/2023 18:47|24.98|0.04||9.01|3.00|-5.02|-90.29|||43.47|-47.35|11.68|-51.02|12.43|2.64|2.28|0.4424
ASSB.ME|0.889|03/01/2023 19:10|4.66|0.001|4.71|1.19|3.00|-2.20|||-4.65|0.6934|1.91|1.70|28.89|105.40|0|6.19|2.92
AVAN.ME|995.00|03/01/2023 18:45||0.196|||||-101.31||-50.66||3.20|4.81|14.05|26.46|7.78|3.79|0.005984
BANE.ME|994.00|03/01/2023 19:08||0.249|17.23|2.25|||349.20||509.20||9.89|10.65|16.56|19.67|0|5.96|0.0227
BANEP.ME|806.50|03/01/2023 19:04||0.249|17.23|2.25|||302.24||644.70||9.89|10.65|16.56|19.67|0.01|7.68|0.0462
BCSB.ME|11.25|03/01/2023 18:45|||||||||||||||||0.0687
BELU.ME|3017.00|03/01/2023 19:06|2.12|1.26|5.14|1.68|6.00|-2.83||149.46|-4.10|25.51|6.61|3.11|19.48|8.96|4.86|1.57|0.0262
BISVP.ME|8.57|03/01/2023 19:11||0.64|3.29|0.80|||563.13||-20.89||2.64|5.88|6.08|10.89|2.31|5.99|0.1253
BLNG.ME|18.70|03/01/2023 19:03||0||1488.75|||||-66.47||6.11|4.93|6.11|0.2518|0|0|19.78
BRZL.ME|1116.00|03/01/2023 19:06|22.66|0|544.77|252.79|5.00|1.31|118.38||335.53|3.75|19.07|1.32|19.67|1.39|0|0|0.005342
BSPB.ME|109.72|03/01/2023 18:52||0.078|||||158.22||264.45||2.15|1.22|17.33|10.82|6.43|4.11|1.11
CBOM.ME|7.29|03/01/2023 19:12||1.28|||||489.07||94.44||1.22|0.9956|15.62|12.01|0|0.374|39.80
CHGZ.ME|40.60|03/01/2023 19:12||0||45.91|||25.13||51.22||1.40|2.07|1.42|2.09|0|0|0.0382
CHKZ.ME|11120|03/01/2023 18:45|1.42|3.55|2.99|0.80|9.00|-2.01||80.37|-21.12|21.40|3.98|2.08|30.49|13.41|2.54|1.74|0.00052
CHMF.ME|1058.80|03/01/2023 18:52||0.461|38.87|1.22|||42.63||44.67||35.72|28.53|80.45|64.05|18.18|14.82|1.18
CHMK.ME|5310.00|03/01/2023 19:06|1.26|1.58|0.85|2.58|6.00|-1.20||||12.48|-2.57|2.25|-10.36|9.18|0|0|0.004655
CNTL.ME|14.80|03/01/2023 18:48|5.51|0.04|51.11|1.80|7.00|-2.01|||-40.85|6.20|7.76|19.74|11.86|30.09|0|23.85|10.31
CNTLP.ME|14.54|03/01/2023 19:00|5.51|0.04|51.11|1.80|7.00|-2.01|||-42.62|9.80|7.76|19.74|11.86|30.09|3.09|29.05|28.05
DIOD.ME|9.14|03/01/2023 18:47|4.63|0|67.07|5.58|8.00|-2.41|||-22.04||3.06|2.60|3.65|3.05|8.18|6.78|0.4481
DIVD.ME|813.60|03/01/2023 19:12|||||||||||||||||0.001509
DSKY.ME|69.70|03/01/2023 19:06|1.91|-37.66|3.75|0.93|||-90.27|430.25||10.26|8.11|8.84|||9.02|8.44|0.4915
DVEC.ME|1.52|03/01/2023 18:57|2.11|0.669|5.10|0.65|6.00|||34.21|29.61||4.34|-3.62|12.21||0|0|35.47
DZRD.ME|2735.00|03/01/2023 19:02|2.06|0.212|12.19|1.58|8.00||||210.82|2.39|2.17|8.96|2.95|12.07|0|0|0.000372
