0001.HK|47.70|03/01/2023 16:08|0.62|0.693|3.26|1.26|7.00|-2.53||42.66|44.83|2.97|2.85|3.00|6.55|7.47|4.96|4.25|3.84
0003.HK|7.41|03/01/2023 16:08|1.38|0.881|4.54|0.69|5.00||||-48.64|17.59|2.58|5.29|6.19|11.28|2.87|2.00|11.22
0012.HK|28.40|03/01/2023 16:08|0.74|0.293|13.33|2.10|4.00|-2.09|||121.88|6.03|2.17|4.79|3.45|6.77|5.41|3.98|2.73
0016.HK|108.80|03/01/2023 16:08|1.48|0.211|15.48|4.00|4.00|-1.92|105.42||86.38|8.04|3.18|4.63|4.27|6.14|5.34|4.34|2.91
0027.HK|53.85|03/01/2023 16:08|9.12|0.142||1.31|5.00|-2.11||||28.33|-0.54|8.26|-0.70|11.82|0|0|8.93
0066.HK|40.05|03/01/2023 16:08|1.70|0.222|1.63|0.94|6.00|-2.74|||-21.78|18.70|3.96|3.65|6.57|5.82|2.94|2.69|2.05
0101.HK|15.56|03/01/2023 16:08|0.75|0.327|15.29|1.43|5.00|-2.48|||53.43|9.82|1.64|2.52|2.57|3.49|4.78|4.37|4.55
0175.HK|10.62|03/01/2023 16:08|1.81|0.197|3.16|1.15|6.00|-2.84|||-29.38|14.33|3.15|9.12|5.91|20.28|0.94|1.35|53.81
0241.HK|6.05|03/01/2023 16:08|11.40|0.006||2.79|2.00|-2.05|||-91.07||0.59|-1.03|0.81|-1.45|0|0|63.81
0267.HK|8.90|03/01/2023 16:08|-0.43|2.91|12.60|0.27|4.00|||157.74|333.95|4.37|0.69|0.6532|10.29|9.18|6.99|4.30|7.08
0268.HK|16.18|03/01/2023 16:08|8.80|0.017||1.03|4.00|-2.52||||329.92|-3.75|1.76|-5.42|2.90|0|0.084|14.99
0288.HK|4.76|03/01/2023 16:08|2.38|0.496|17.05|1.71|5.00|-2.55|||52.78||6.02|6.65|12.52|13.40|3.59|3.07|15.21
0291.HK|62.65|03/01/2023 16:08|4.46|0.035|124.42|0.93|8.00|-1.98||-25.54|-74.72|125.84|7.50|4.68|15.66|9.91|0.74|0.418|6.75
0338.HK|1.37|03/01/2023 16:08|2.96|0.149||1.32|8.00|-3.37|||31.85|12.67|0.87|8.12|1.34|11.66|6.69|7.51|8.98
0386.HK|4.11|03/01/2023 16:08|2.06|0.532|7.84|0.86|5.00|-2.67|211.22||158.10|6.65|3.46|3.32|8.76|7.56|9.64|7.40|80.62
0388.HK|330.80|03/01/2023 16:08|0.93|0.048|33.38|1.07|4.00|-2.71||-82.21|-80.92|45.27|2.05|3.18|20.36|23.49|2.01|2.20|4.56
0669.HK|80.25|03/01/2023 16:08|2.89|0.784|30.43|1.41|5.00|-1.72||21.92|-48.08|34.75|8.94|9.20|24.71|20.78|1.07|1.31|10.22
0688.HK|20.40|03/01/2023 16:08|1.22|0.769|45.12|2.43|5.00|-2.07||24.72|197.74|4.90|4.11|5.92|10.57|15.19|6.39|4.36|20.44
0700.HK|368.80|03/01/2023 16:08|4.43|0.486|11.99|1.45|4.00|-2.68|-10.61|52.06|-50.03|33.70|11.67|13.67|22.58|28.82|0.35|0.252|23.34
0836.HK|16.26|03/01/2023 16:08|0.80|1.43|1.14|0.79|6.00||||-65.12|9.99|0.12|2.18|0.33|6.20|2.51|3.77|13.54
0857.HK|4.11|03/01/2023 16:08|2.26|0.35|13.51|1.02|9.00|-2.88|192.65|6.62|203.92|12.32|5.16|1.88|10.50|3.84|7.61|4.14|78.18
0868.HK|15.02|03/01/2023 16:08|4.00|0.482|46.20|1.39|6.00|-2.19||321.60|38.38|12.44|17.05|15.95|28.85|26.92|6.53|3.97|8.25
0881.HK|41.15|03/01/2023 16:08|3.77|0.649|7.82|1.50|7.00|-2.46||148.51|-27.99|25.04|9.97|8.35|21.61|23.30|0.95|1.05|2.55
0939.HK|4.94|03/01/2023 16:08||0.742|||5.00|-2.59|465.57|144.47|312.91|4.77|0.99|1.09|11.97|13.06|7.21|5.62|222.28
0960.HK|24.55|03/01/2023 16:08|0.82|1.85|45.67|1.47|4.00|-2.25||416.82|111.04|8.26|2.73|3.41|20.13|20.45|4.97|2.96|8.97
0968.HK|8.76|03/01/2023 16:08|5.77|0.261|33.37|2.02|3.00|-2.26||0.1064|-39.68|33.88|7.71|10.47|12.69|21.21|2.58|2.12|19.81
0992.HK|7.32|03/01/2023 16:08|1.95|0.944|11.16|0.91|7.00|-2.81|121.47|355.51||13.20|4.79|2.49|44.26|21.39|3.76|4.68|60.37
1024.HK|56.05|03/01/2023 16:08|-0.91|0.289||1.23||-2.90|||||-25.60||-49.44||0||24.25
1038.HK|42.00|03/01/2023 16:08|1.96|0.223|4.07|1.36|5.00||||52.83|7.96|5.42|5.83|7.10|7.62|5.03|4.56|1.17
