0001.HK|47.20|07/20/2023 16:08|0.67|0.669|2.88|1.27|6.00|-2.57|267.57|28.20|69.08|3.09|3.14|2.96|7.00|7.28|5.80|4.86|3.96
0003.HK|6.47|07/20/2023 16:08|1.73|0.95|4.57|0.66|6.00|-2.49|-35.28||-35.58|16.19|3.21|4.59|8.06|10.09|4.68|2.94|11.36
0012.HK|23.05|07/20/2023 16:08|0.64|0.269|6.11|2.06|5.00|-2.52|173.63||130.47|5.53|1.71|3.53|2.79|5.11|6.70|5.32|2.05
0016.HK|96.70|07/20/2023 16:08|1.36|0.223|10.89|3.89|4.00|-1.92|||76.74|7.19|2.33|4.63|3.13|6.14|5.34|4.34|2.99
0027.HK|53.55|07/20/2023 16:08|8.01|0.126||1.17|2.00|-2.84|-66.37|||33.80|-4.13|4.63|-5.21|6.65|0|0|6.41
0066.HK|35.20|07/20/2023 16:08|1.56|0.268|1.52|0.53|4.00|-2.47|-24.45||-19.36|17.49|3.23|2.99|5.50|4.78|3.50|2.92|2.11
0101.HK|11.50|07/20/2023 16:08|0.65|0.344|15.07|1.38|4.00|-2.50|92.72||103.85|8.16|1.76|1.97|2.80|2.81|5.13|4.61|4.47
0168.HK|68.55|07/20/2023 16:08|4.96|0.014|280.38|1.77|8.00|-3.20|-61.57|-41.46|-46.01|62.04|8.13|5.95|15.79|11.71|1.64|1.25|2.49
0175.HK|9.63|07/20/2023 16:08|1.73|0.175|2.22|1.15|5.00|-2.63|24.87||-14.74|12.56|3.54|6.95|7.12|14.29|1.85|1.63|30.13
0241.HK|4.95|07/20/2023 16:08|7.87|0.005||2.74|6.00|-2.28|-72.06||-79.19||2.59|0.407|3.53|0.423|0|0|30.86
0267.HK|8.48|07/20/2023 16:08||2.91|12.60|0.27|||287.69||328.51|4.50|0.69|0.6532|10.29|9.18|8.07|5.92|8.60
0268.HK|11.12|07/20/2023 16:08|5.01|0.073||1.06|2.00|-2.83|-78.35|||284.48|-3.46|0.1104|-5.28|0.2016|0|0.084|9.52
