ABRD.ME|341.60|07/21/2023 16:01|3.49|0.623|4.68|2.33|6.00|-2.57|-70.83|-25.40|-31.89||7.64|7.33|15.19|13.57|0|1.22|0.4525
AFKS.ME|17.37|07/21/2023 16:06|0.70|11.85|1.76|0.87|7.00|-2.26||||1.92|0.13|0.2782|3.11|3.71|0|0.774|37.66
AFLT.ME|43.97|07/21/2023 16:16||-5.76||0.70|||145.55||||-3.23|-3.23||2094.79|0|5.58|16.98
AGRO.ME|1120.60|07/21/2023 16:04|1.89|1.36|0.67|1.30|6.00|-1.57|-55.21|111.64|40.13|5.07|2.50|7.02|6.69|15.65|0|5.17|0.2891
AKMB.ME|1.32|07/21/2023 16:08|||||||||||||||||53.26
AKRN.ME|19358|07/21/2023 16:04|6.91|0.48|14.54|2.22|5.00|5.36|-65.75||-50.93||5.70|11.70|9.90|28.16|0|4.79|0.001099
AKSC.ME|58.90|07/20/2023 23:50|||||||||||||||||0.002427
ALRS.ME|80.30|07/21/2023 16:06||0.548|15.92|3.14|||71.53||19.12||18.29|15.83|36.75|27.69|14.94|12.45|22.76
AMEZ.ME|72.23|07/21/2023 16:08||0.208|49.58|2.75|||46.30||118.68||50.04|13.63|85.52|25.96|0|0|0.9936
AMRB.ME|106.60|07/21/2023 15:36|||||||||||||||||0.000552
AMRE.ME|95.50|07/21/2023 15:46|||||||||||||||||0.007995
AMRH.ME|113.80|07/21/2023 15:36|||||||||||||||||0.001542
APTK.ME|14.08|07/21/2023 16:06||-4.46|0.30|0.70|||||||17.28|-26.53||-498.07|0|0|2.71
AQUA.ME|632.00|07/21/2023 15:37||0.718|12.61|2.64|||||-27.89||28.65|26.54|49.34|210.13|1.91|0.382|0.2193
ARSA.ME|10.16|07/21/2023 16:00|36.47|0.015||10.57||-3.17|-93.74||-87.07||2.37|4.20|2.55|4.47|0|2.28|0.6511
ASSB.ME|1.68|07/21/2023 16:02|4.69|0.20|5.31|1.13|6.00|-1.98|||-39.52||2.05|1.82|26.20|67.75|0|6.19|3.35
AVAN.ME|1155.00|07/21/2023 15:42||0.196|||||-101.33||-50.03||3.20|4.81|14.05|26.46|7.78|3.79|0.004098
BANE.ME|1823.50|07/21/2023 16:09||0.249|17.23|2.25|||139.41||224.68||9.89|10.65|16.56|19.67|0|5.96|0.1056
BCSB.ME|11.70|07/21/2023 16:09|||||||||||||||||0.1553
BELU.ME|4900.00|07/21/2023 16:14|2.58|1.52|5.86|1.45|6.00|-2.28|-26.12|229.71|-18.25||10.02|4.78|32.86|14.96|0|1.57|0.0883
BLNG.ME|28.16|07/21/2023 16:03||0||1488.75|||||-79.66||6.11|4.93|6.11|0.2518|0|0|5.81
BRZL.ME|1314.00|07/21/2023 16:11||0|544.77|252.79|||97.65||294.19||19.07|1.32|19.67|1.39|0|0|0.002927
BSPB.ME|194.48|07/21/2023 16:00||0.034|||7.00|-1.94|110.24|84.80|233.07||1.75|1.22|9.18|10.82|6.43|4.11|1.66
BSPBP.ME|68.95|07/21/2023 16:01|||||||||||||||||0.3287
CBOM.ME|7.00|07/21/2023 16:00||0.671||||-2.52|761.78|21.51|78.59||0.31|1.00|4.57|11.82|0|0.374|29.99
CHGZ.ME|51.20|07/21/2023 15:35||0||45.91|||-4.57||15.33||1.40|2.07|1.42|2.09|0|0|0.0575
CHKZ.ME|13100|07/21/2023 16:17|0.82|4.79|2.11|1.04|4.00|-2.27||92.44|-13.37||2.40|1.96|29.50|14.50|0|1.74|0.00004876
